Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Coat,Spayed or Neutered,House Trained,Special Needs,Shots Current
54858447,Boon,adoptable,2022-03-04T18:10:57+0000,GA862,Athens,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
54802620,CASPER,adoptable,2022-03-01T19:01:22+0000,GA99,Macon,GA,Mixed Breed,Young,Male,Medium,,True,False,False,False
55368350,Giacomo (in foster),adoptable,2022-04-22T00:06:14+0000,GA335,Atlanta,GA,Mixed Breed,Young,Male,Small,,True,False,False,False
55179362,Loki,adoptable,2022-04-01T16:52:47+0000,GA340,Tucker,GA,Labrador Retriever,Adult,Male,Large,Short,True,True,True,True
55331643,QUEEN,adoptable,2022-04-18T16:56:32+0000,GA217,Atlanta,GA,Pit Bull Terrier,Young,Female,Medium,,False,False,False,False
51906420,Iroh,adoptable,2021-06-11T18:20:39+0000,GA160,Bogart,GA,Shepherd,Adult,Male,Medium,Short,True,True,False,True
55034597,West,adoptable,2022-03-19T10:04:32+0000,GA66,Albany,GA,Mixed Breed,Young,Male,Medium,,False,False,False,True
54255524,Dougie,adoptable,2022-01-16T22:06:37+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,,True,False,False,False
54338315,Paige,adoptable,2022-01-22T19:31:38+0000,GA168,Perry,GA,American Bulldog,Adult,Female,Medium,,True,True,False,True
54786374,Bobby Flame,adoptable,2022-02-28T16:01:45+0000,GA299,Douglasville,GA,Pit Bull Terrier,Young,Female,Large,,True,False,False,True
54142621,Lunasia,adoptable,2022-01-08T04:01:42+0000,GA299,Douglasville,GA,Pit Bull Terrier,Adult,Female,Medium,,False,False,False,True
55318424,Nugget,adoptable,2022-04-16T16:06:19+0000,GA251,Atlanta,GA,Mixed Breed,Senior,Male,Large,,True,False,False,False
55380258,Hashbrown,adoptable,2022-04-23T08:29:00+0000,GA75,Hamilton,GA,Terrier,Adult,Male,Medium,,True,False,False,False
