Pet ID,Organization ID,City,State,Breed,Age,Gender,Size,Spayed or Neutered,House Trained,Special Needs,Shots Current,Good With Children
54364647,GA627,Decatur,GA,American Bulldog,Young,Female,Medium,True,True,False,True,True
54805223,GA204,Danielsville,GA,Staffordshire Bull Terrier,Adult,Male,Large,True,True,False,True,False
54256149,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,True,False,False,False,
54803078,GA718,Columbus,GA,Black Labrador Retriever,Young,Female,Medium,False,False,False,True,
50965101,GA353,Monroe,GA,Beagle,Young,Male,Small,True,True,False,True,False
55082091,GA357,Lawrenceville,GA,American Staffordshire Terrier,Adult,Female,Medium,True,False,False,True,
54673729,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Medium,True,False,False,False,
55337855,GA150,Madison,GA,Shepherd,Baby,Female,Medium,True,False,False,True,
55310357,GA423,Chamblee,GA,Mixed Breed,Young,Female,Small,False,False,False,False,
55238640,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,
55326597,GA217,Atlanta,GA,German Shepherd Dog,Young,Male,Large,False,False,False,False,
54806554,GA875,Atlanta,GA,Labradoodle,Adult,Male,Large,True,False,False,True,
55272888,GA357,Lawrenceville,GA,Shepherd,Adult,Male,Large,True,False,False,True,
55311731,GA299,Douglasville,GA,Boxer,Adult,Male,Medium,False,False,False,True,
55362051,GA718,Columbus,GA,Labrador Retriever,Baby,Female,Small,True,False,False,True,
54987588,GA926,Tyrone,GA,Pit Bull Terrier,Baby,Male,Small,True,False,False,True,
37184690,GA244,Monticello,GA,Chihuahua,Senior,Female,Small,True,True,False,True,True
55381015,GA357,Lawrenceville,GA,Shih Tzu,Adult,Male,Small,False,False,False,True,
54787546,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,
54621119,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,
54604366,GA423,Chamblee,GA,Mixed Breed,Senior,Male,Medium,False,False,False,False,
54461702,GA862,Athens,GA,Mixed Breed,Young,Female,Large,True,False,False,False,False
55204810,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,True,False,False,False,
55266320,GA217,Atlanta,GA,German Shepherd Dog,Young,Male,Large,True,False,False,False,
55197977,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,False,False,False,False,
55192670,GA665,Peachtree City,GA,Australian Kelpie,Baby,Male,Medium,False,False,False,False,
55351860,GA247,Covington,GA,Boxer,Baby,Female,Medium,False,False,False,True,
52834950,GA1020,Jackson,GA,American Staffordshire Terrier,Young,Male,Medium,True,False,False,True,
55205833,GA926,Tyrone,GA,Pit Bull Terrier,Baby,Female,Small,False,False,False,True,
55039178,GA217,Atlanta,GA,Labrador Retriever,Young,Male,Large,True,False,False,False,
55074697,GA890,Griffin,GA,Pit Bull Terrier,Young,Female,Medium,True,False,False,True,True
55311493,GA99,Macon,GA,Mixed Breed,Young,Male,Large,False,False,False,False,
55365463,GA217,Atlanta,GA,Labrador Retriever,Baby,Male,Small,False,False,False,False,
55327937,GA357,Lawrenceville,GA,Shepherd,Adult,Female,Large,True,False,False,True,
55112620,GA718,Columbus,GA,Black Labrador Retriever,Adult,Male,Medium,True,False,False,True,
53364994,GA809,Atlanta,GA,Treeing Walker Coonhound,Adult,Female,Large,True,False,False,False,True
